city,year,temp_mean,temp_max,rainfall_annual,wind_speed,humidity,n_dry_months,monsoon_onset_doy,sowing_window_miss,gdd_accumulation,crop_water_deficit
Delhi,2000,24.673,30.522,666.9,3.963,73.28,9,131,0.3667,4648.05,0.0
Delhi,2001,24.721,30.621,598.6,3.86,73.517,8,136,0.5333,4573.55,0.0
Delhi,2002,25.666,31.666,401.8,4.083,69.473,10,212,1.0,4888.8,0.286
Delhi,2003,24.116,29.765,908.0,3.85,76.861,9,167,1.0,4557.15,0.0
Delhi,2004,25.328,31.216,475.4,4.186,72.533,10,210,1.0,4749.8,0.1429
Delhi,2005,24.729,30.615,719.2,4.043,70.875,9,173,1.0,4637.05,0.0
Delhi,2006,25.745,31.59,549.0,4.007,68.831,10,175,1.0,4699.15,0.0
Delhi,2007,25.23,31.018,649.3,4.038,71.836,7,166,1.0,4740.5,0.0
Delhi,2008,24.794,30.485,790.7,3.715,73.841,7,139,0.6333,4450.9,0.0
Delhi,2009,25.844,31.927,427.0,4.154,67.325,9,179,1.0,4811.6,0.1622
Delhi,2010,25.669,31.473,886.0,3.875,73.034,9,183,1.0,4759.1,0.0
Delhi,2011,24.632,30.283,656.6,3.769,76.439,8,174,1.0,4528.3,0.0
Delhi,2012,24.531,30.274,573.8,4.059,71.893,9,186,1.0,4658.8,0.0
Delhi,2013,24.209,29.535,753.1,3.839,78.572,8,174,1.0,4546.65,0.0
Delhi,2014,24.74,30.434,493.6,3.94,72.976,9,173,1.0,4688.95,0.2029
Delhi,2015,24.608,30.112,814.9,3.832,76.948,8,184,1.0,4538.25,0.0
Delhi,2016,25.39,31.066,794.4,3.753,74.805,9,176,1.0,4651.55,0.0
Delhi,2017,25.225,30.843,546.1,4.448,74.969,8,165,1.0,4679.4,0.0
Delhi,2018,25.002,30.667,702.3,4.27,74.584,8,176,1.0,4649.4,0.0
Delhi,2019,24.726,30.004,572.2,4.282,76.804,9,185,1.0,4749.45,0.0371
Delhi,2020,24.316,29.799,582.1,4.306,78.111,8,187,1.0,4622.0,0.1153
Delhi,2021,24.858,30.322,780.4,4.292,76.361,8,191,1.0,4582.45,0.0
Delhi,2022,25.21,30.879,707.3,4.575,74.548,7,166,1.0,4813.7,0.0
Delhi,2023,24.602,30.196,835.4,4.415,77.458,7,121,0.0333,4530.3,0.0
Delhi,2024,25.133,30.724,1026.3,4.263,73.344,8,176,1.0,4754.25,0.0
Jaipur,2000,25.332,31.58,355.2,4.316,60.446,10,131,0.3667,4651.75,0.0
Jaipur,2001,25.032,31.214,370.5,3.918,63.18,10,134,0.4667,4518.7,0.0
