city,year,pre_monsoon_depth_mbgl,post_monsoon_depth_mbgl,n_wells,depletion_rate,recharge_efficiency,gw_imputed
Ahmedabad,2000,9.04,12.355,3,-1.59,0.0,1
Ahmedabad,2001,11.375,11.55,3,2.335000000000001,0.0,1
Ahmedabad,2002,11.295,11.6,3,-0.08000000000000007,0.0,1
Ahmedabad,2003,14.1,5.8,3,2.8049999999999997,0.0105,1
Ahmedabad,2004,9.15,4.47,3,-4.949999999999999,0.0054,1
Ahmedabad,2005,7.98,2.075,3,-1.17,0.0055,0
Ahmedabad,2006,4.8,1.8,3,-3.1800000000000006,0.0019,0
Ahmedabad,2007,4.38,2.68,3,-0.41999999999999993,0.0016,0
Ahmedabad,2008,6.48,3.38,3,2.1000000000000005,0.004,0
Ahmedabad,2009,4.52,2.91,3,-1.9600000000000009,0.0027,0
Ahmedabad,2010,6.45,2.45,3,1.9300000000000006,0.0037,0
Ahmedabad,2011,4.15,2.66,3,-2.3,0.0018,0
Ahmedabad,2012,11.395,5.05,3,7.244999999999999,0.0113,0
Ahmedabad,2013,7.22,2.3,3,-4.175,0.0054,0
Ahmedabad,2014,4.16,3.89,3,-3.0599999999999996,0.0004,0
Ahmedabad,2015,3.18,3.16,3,-0.98,0.0,0
Ahmedabad,2016,4.75,3.98,3,1.5699999999999998,0.0011,0
Ahmedabad,2017,4.54,3.02,3,-0.20999999999999996,0.001,0
Ahmedabad,2018,9.105,,3,4.565,,0
Ahmedabad,2019,9.2,2.3,3,0.09499999999999886,0.0056,0
Ahmedabad,2020,,2.935,3,,,0
Ahmedabad,2021,,2.92,3,,,0
Ahmedabad,2022,4.94,3.55,3,,0.0014,0
Bangalore,2000,5.35,2.23,7,-0.05166666666666675,0.0032,1
Bangalore,2001,4.85,2.15,7,-0.5,0.0036,1
Bangalore,2002,5.27,7.0,7,0.41999999999999993,0.0,1
Bangalore,2003,7.47,5.67,7,2.2,0.0031,1
Bangalore,2004,7.4,4.48,7,-0.0699999999999994,0.0032,1
Bangalore,2005,6.5,2.2,7,-0.9000000000000004,0.0038,0
Bangalore,2006,5.7,5.35,7,-0.7999999999999998,0.0006,0
Bangalore,2007,7.245,2.94,7,1.545,0.0046,0
Bangalore,2008,5.2,3.04,7,-2.045,0.002,0
Bangalore,2009,5.03,4.09,7,-0.16999999999999993,0.0009,0
Bangalore,2010,5.55,3.62,7,0.5199999999999996,0.0017,0
Bangalore,2011,5.5,2.47,7,-0.04999999999999982,0.0029,0
Bangalore,2012,5.09,9.395,7,-0.41000000000000014,0.0,0
Bangalore,2013,10.5,3.68,7,5.41,0.0071,0
Bangalore,2014,8.49,2.36,7,-2.01,0.0075,0
Bangalore,2015,4.65,1.675,7,-3.84,0.0025,0
Bangalore,2016,2.66,4.42,7,-1.9900000000000002,0.0,0
Bangalore,2017,4.72,1.42,7,2.0599999999999996,0.0034,0
Bangalore,2018,4.31,3.52,7,-0.41000000000000014,0.0008,0
Bangalore,2019,7.3,2.63,7,2.99,0.0048,0
Bangalore,2020,,1.975,7,,,0
Bangalore,2021,,1.525,7,,,0
