city,year,koppen_zone,T_ann,P_ann,T_min,T_max,n_dry_months,koppen_zone_enc
Ahmedabad,2000,BWh,27.61,373.9,21.05,33.48,10,3
Ahmedabad,2001,BSh,27.42,454.0,21.15,33.04,9,2
Ahmedabad,2002,BWh,27.88,300.0,20.62,34.2,10,3
Ahmedabad,2003,BSh,27.42,790.4,21.61,33.44,9,2
Ahmedabad,2004,Aw,27.37,863.6,20.79,33.03,9,1
Ahmedabad,2005,Aw,26.52,1077.3,19.24,32.69,8,1
Ahmedabad,2006,Aw,27.1,1617.0,20.58,32.94,8,1
Ahmedabad,2007,Aw,27.17,1091.5,21.38,33.0,8,1
Ahmedabad,2008,BSh,26.75,783.9,20.16,32.13,8,2
Ahmedabad,2009,BSh,27.96,592.7,22.47,32.96,10,2
Ahmedabad,2010,Aw,28.0,1089.5,20.97,35.14,9,1
Ahmedabad,2011,BSh,27.16,819.7,19.99,32.76,9,2
Ahmedabad,2012,BSh,26.73,563.1,19.24,32.81,9,2
Ahmedabad,2013,Aw,26.58,916.9,20.37,33.35,7,1
Ahmedabad,2014,BSh,27.16,693.2,19.97,33.58,9,2
Ahmedabad,2015,BSh,27.61,610.6,20.02,33.61,11,2
Ahmedabad,2016,BSh,27.42,712.2,21.36,34.36,9,2
Ahmedabad,2017,Aw,27.63,1578.0,20.94,34.55,8,1
Ahmedabad,2018,BSh,27.87,751.1,20.52,34.85,10,2
Ahmedabad,2019,Aw,27.49,1237.1,19.6,33.56,8,1
Ahmedabad,2020,Aw,27.72,1015.1,19.47,35.08,8,1
Ahmedabad,2021,Aw,27.88,1050.1,20.98,33.03,7,1
Ahmedabad,2022,Aw,28.0,1014.7,19.08,34.91,9,1
Ahmedabad,2023,Aw,27.97,1035.9,20.81,33.7,8,1
Ahmedabad,2024,Aw,28.2,1335.1,20.92,35.88,7,1
Bangalore,2000,Aw,22.74,963.0,19.39,26.32,5,1
Bangalore,2001,Aw,23.15,756.2,19.76,26.39,6,1
Bangalore,2002,Aw,23.34,628.7,20.41,27.16,7,1
Bangalore,2003,BSh,23.83,589.6,21.02,28.08,8,2
Bangalore,2004,Aw,22.96,898.8,20.6,26.24,6,1
Bangalore,2005,Aw,23.26,1120.4,19.85,26.82,3,1
Bangalore,2006,Aw,23.22,632.5,20.54,26.52,7,1
Bangalore,2007,Aw,23.26,935.4,20.58,26.63,6,1
Bangalore,2008,Aw,22.89,1056.2,20.33,26.17,4,1
Bangalore,2009,Aw,23.35,1004.4,20.64,27.16,6,1
Bangalore,2010,Aw,23.57,1106.7,19.9,27.98,5,1
Bangalore,2011,Aw,22.92,1062.6,20.57,25.96,5,1
Bangalore,2012,Aw,23.4,793.0,20.86,27.39,6,1
Bangalore,2013,Aw,23.24,958.6,20.52,27.41,6,1
Bangalore,2014,Aw,23.53,822.1,21.02,27.76,6,1
Bangalore,2015,Aw,23.34,1176.9,20.97,25.91,4,1
Bangalore,2016,Aw,23.78,775.5,20.74,28.64,9,1
Bangalore,2017,Aw,23.8,968.3,21.24,27.86,6,1
Bangalore,2018,Aw,23.61,942.9,21.34,27.02,6,1
Bangalore,2019,Aw,24.25,967.0,21.22,27.83,7,1
Bangalore,2020,Aw,23.87,1268.6,20.83,27.89,6,1
Bangalore,2021,Aw,23.46,1440.9,21.17,26.68,4,1
Bangalore,2022,Aw,23.3,1185.3,21.12,27.05,5,1
Bangalore,2023,Aw,24.05,795.5,20.95,26.72,7,1
Bangalore,2024,Aw,24.54,1080.9,22.18,29.42,5,1
Chennai,2000,BSh,28.28,703.6,24.51,32.42,7,2
Chennai,2001,Aw,28.69,1153.2,24.38,33.66,7,1
Chennai,2002,Aw,28.5,605.0,24.22,32.84,10,1
Chennai,2003,BSh,28.65,615.7,24.67,33.27,6,2
