city,year,lat,lon,primary_crop,koppen_baseline,risk_category,temp_mean,temp_max,rainfall_annual,wind_speed,humidity,n_dry_months,monsoon_onset_doy,sowing_window_miss,gdd_accumulation,crop_water_deficit,pre_monsoon_depth_mbgl,post_monsoon_depth_mbgl,depletion_rate,recharge_efficiency,gw_imputed,gaez_baseline_class,crop,gdd_min,water_req,sow_doy,max_temp,koppen_zone,koppen_zone_enc,dual_deficit,gdd_adequate,cvle_label
Delhi,2000,28.6139,77.209,Wheat,BSh,at_risk,24.673,30.522,666.9,3.963,73.28,9,131,0.3667,4648.05,0.0,4.04,5.365,-0.1283333333333332,0.0,1.0,5,wheat,1200,450,120,35,BSh,2,0,1,0
Delhi,2001,28.6139,77.209,Wheat,BSh,at_risk,24.721,30.621,598.6,3.86,73.517,8,136,0.5333,4573.55,0.0,6.32,5.41,2.28,0.0015,1.0,5,wheat,1200,450,120,35,BSh,2,0,1,0
Delhi,2002,28.6139,77.209,Wheat,BSh,at_risk,25.666,31.666,401.8,4.083,69.473,10,212,1.0,4888.8,0.286,5.98,5.825,-0.3399999999999998,0.0004,1.0,5,wheat,1200,450,120,35,BSh,2,0,1,0
Delhi,2003,28.6139,77.209,Wheat,BSh,at_risk,24.116,29.765,908.0,3.85,76.861,9,167,1.0,4557.15,0.0,6.735,4.85,0.7549999999999999,0.0021,1.0,5,wheat,1200,450,120,35,Cwa,5,0,1,0
Delhi,2004,28.6139,77.209,Wheat,BSh,at_risk,25.328,31.216,475.4,4.186,72.533,10,210,1.0,4749.8,0.1429,5.455,5.075,-1.2800000000000002,0.0008,1.0,5,wheat,1200,450,120,35,BSh,2,0,1,0
Delhi,2005,28.6139,77.209,Wheat,BSh,at_risk,24.729,30.615,719.2,4.043,70.875,9,173,1.0,4637.05,0.0,5.47,5.03,0.0149999999999996,0.0006,0.0,5,wheat,1200,450,120,35,BSh,2,0,1,0
Delhi,2006,28.6139,77.209,Wheat,BSh,at_risk,25.745,31.59,549.0,4.007,68.831,10,175,1.0,4699.15,0.0,5.39,5.205,-0.08,0.0003,0.0,5,wheat,1200,450,120,35,BSh,2,0,1,0
Delhi,2007,28.6139,77.209,Wheat,BSh,at_risk,25.23,31.018,649.3,4.038,71.836,7,166,1.0,4740.5,0.0,5.07,5.29,-0.3199999999999994,0.0,0.0,5,wheat,1200,450,120,35,BSh,2,0,1,0
Delhi,2008,28.6139,77.209,Wheat,BSh,at_risk,24.794,30.485,790.7,3.715,73.841,7,139,0.6333,4450.9,0.0,5.595,4.995,0.5249999999999995,0.0008,0.0,5,wheat,1200,450,120,35,Csa,4,0,1,0
Delhi,2009,28.6139,77.209,Wheat,BSh,at_risk,25.844,31.927,427.0,4.154,67.325,9,179,1.0,4811.6,0.1622,5.82,4.55,0.2250000000000005,0.003,0.0,5,wheat,1200,450,120,35,BSh,2,0,1,0
Delhi,2010,28.6139,77.209,Wheat,BSh,at_risk,25.669,31.473,886.0,3.875,73.034,9,183,1.0,4759.1,0.0,6.94,3.48,1.12,0.0039,0.0,5,wheat,1200,450,120,35,Csa,4,0,1,0
Delhi,2011,28.6139,77.209,Wheat,BSh,at_risk,24.632,30.283,656.6,3.769,76.439,8,174,1.0,4528.3,0.0,4.54,4.005,-2.4000000000000004,0.0008,0.0,5,wheat,1200,450,120,35,BSh,2,0,1,0
Delhi,2012,28.6139,77.209,Wheat,BSh,at_risk,24.531,30.274,573.8,4.059,71.893,9,186,1.0,4658.8,0.0,4.34,4.41,-0.2000000000000001,0.0,0.0,5,wheat,1200,450,120,35,BSh,2,0,1,0
Delhi,2013,28.6139,77.209,Wheat,BSh,at_risk,24.209,29.535,753.1,3.839,78.572,8,174,1.0,4546.65,0.0,4.77,3.36,0.4299999999999997,0.0019,0.0,5,wheat,1200,450,120,35,BSh,2,0,1,0
Delhi,2014,28.6139,77.209,Wheat,BSh,at_risk,24.74,30.434,493.6,3.94,72.976,9,173,1.0,4688.95,0.2029,3.86,5.71,-0.9099999999999996,0.0,0.0,5,wheat,1200,450,120,35,BSh,2,0,1,0
