city,year,lat,lon,primary_crop,koppen_baseline,risk_category
Delhi,2000,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2001,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2002,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2003,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2004,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2005,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2006,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2007,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2008,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2009,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2010,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2011,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2012,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2013,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2014,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2015,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2016,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2017,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2018,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2019,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2020,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2021,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2022,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2023,28.6139,77.209,Wheat,BSh,at_risk
Delhi,2024,28.6139,77.209,Wheat,BSh,at_risk
Jaipur,2000,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2001,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2002,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2003,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2004,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2005,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2006,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2007,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2008,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2009,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2010,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2011,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2012,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2013,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2014,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2015,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2016,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2017,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2018,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2019,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2020,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2021,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2022,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2023,26.9124,75.7873,Mustard,BWh,at_risk
Jaipur,2024,26.9124,75.7873,Mustard,BWh,at_risk
Ahmedabad,2000,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2001,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2002,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2003,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2004,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2005,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2006,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2007,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2008,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2009,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2010,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2011,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2012,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2013,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2014,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2015,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2016,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2017,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2018,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2019,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2020,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2021,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2022,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2023,23.0225,72.5714,Cotton,BSh,at_risk
Ahmedabad,2024,23.0225,72.5714,Cotton,BSh,at_risk
Lucknow,2000,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2001,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2002,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2003,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2004,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2005,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2006,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2007,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2008,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2009,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2010,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2011,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2012,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2013,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2014,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2015,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2016,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2017,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2018,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2019,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2020,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2021,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2022,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2023,26.8467,80.9462,Sugarcane,Cwa,at_risk
Lucknow,2024,26.8467,80.9462,Sugarcane,Cwa,at_risk
Hyderabad,2000,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2001,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2002,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2003,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2004,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2005,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2006,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2007,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2008,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2009,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2010,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2011,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2012,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2013,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2014,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2015,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2016,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2017,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2018,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2019,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2020,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2021,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2022,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2023,17.385,78.4867,Groundnut,BSh,at_risk
Hyderabad,2024,17.385,78.4867,Groundnut,BSh,at_risk
Chennai,2000,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2001,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2002,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2003,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2004,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2005,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2006,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2007,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2008,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2009,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2010,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2011,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2012,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2013,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2014,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2015,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2016,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2017,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2018,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2019,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2020,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2021,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2022,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2023,13.0827,80.2707,Rice,Aw,at_risk
Chennai,2024,13.0827,80.2707,Rice,Aw,at_risk
Bangalore,2000,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2001,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2002,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2003,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2004,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2005,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2006,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2007,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2008,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2009,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2010,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2011,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2012,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2013,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2014,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2015,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2016,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2017,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2018,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2019,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2020,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2021,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2022,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2023,12.9716,77.5946,Ragi,Aw,at_risk
Bangalore,2024,12.9716,77.5946,Ragi,Aw,at_risk
Pune,2000,18.5204,73.8567,Sorghum,BSh,control
Pune,2001,18.5204,73.8567,Sorghum,BSh,control
Pune,2002,18.5204,73.8567,Sorghum,BSh,control
Pune,2003,18.5204,73.8567,Sorghum,BSh,control
Pune,2004,18.5204,73.8567,Sorghum,BSh,control
Pune,2005,18.5204,73.8567,Sorghum,BSh,control
Pune,2006,18.5204,73.8567,Sorghum,BSh,control
Pune,2007,18.5204,73.8567,Sorghum,BSh,control
Pune,2008,18.5204,73.8567,Sorghum,BSh,control
Pune,2009,18.5204,73.8567,Sorghum,BSh,control
Pune,2010,18.5204,73.8567,Sorghum,BSh,control
Pune,2011,18.5204,73.8567,Sorghum,BSh,control
Pune,2012,18.5204,73.8567,Sorghum,BSh,control
Pune,2013,18.5204,73.8567,Sorghum,BSh,control
Pune,2014,18.5204,73.8567,Sorghum,BSh,control
Pune,2015,18.5204,73.8567,Sorghum,BSh,control
Pune,2016,18.5204,73.8567,Sorghum,BSh,control
Pune,2017,18.5204,73.8567,Sorghum,BSh,control
Pune,2018,18.5204,73.8567,Sorghum,BSh,control
Pune,2019,18.5204,73.8567,Sorghum,BSh,control
Pune,2020,18.5204,73.8567,Sorghum,BSh,control
Pune,2021,18.5204,73.8567,Sorghum,BSh,control
Pune,2022,18.5204,73.8567,Sorghum,BSh,control
Pune,2023,18.5204,73.8567,Sorghum,BSh,control
Pune,2024,18.5204,73.8567,Sorghum,BSh,control
Kolkata,2000,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2001,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2002,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2003,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2004,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2005,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2006,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2007,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2008,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2009,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2010,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2011,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2012,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2013,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2014,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2015,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2016,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2017,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2018,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2019,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2020,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2021,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2022,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2023,22.5726,88.3639,Rice/Jute,Am,control
Kolkata,2024,22.5726,88.3639,Rice/Jute,Am,control
Mumbai,2000,19.076,72.8777,Rice,Am,control
Mumbai,2001,19.076,72.8777,Rice,Am,control
Mumbai,2002,19.076,72.8777,Rice,Am,control
Mumbai,2003,19.076,72.8777,Rice,Am,control
Mumbai,2004,19.076,72.8777,Rice,Am,control
Mumbai,2005,19.076,72.8777,Rice,Am,control
Mumbai,2006,19.076,72.8777,Rice,Am,control
Mumbai,2007,19.076,72.8777,Rice,Am,control
Mumbai,2008,19.076,72.8777,Rice,Am,control
Mumbai,2009,19.076,72.8777,Rice,Am,control
Mumbai,2010,19.076,72.8777,Rice,Am,control
Mumbai,2011,19.076,72.8777,Rice,Am,control
Mumbai,2012,19.076,72.8777,Rice,Am,control
Mumbai,2013,19.076,72.8777,Rice,Am,control
Mumbai,2014,19.076,72.8777,Rice,Am,control
Mumbai,2015,19.076,72.8777,Rice,Am,control
Mumbai,2016,19.076,72.8777,Rice,Am,control
Mumbai,2017,19.076,72.8777,Rice,Am,control
Mumbai,2018,19.076,72.8777,Rice,Am,control
Mumbai,2019,19.076,72.8777,Rice,Am,control
Mumbai,2020,19.076,72.8777,Rice,Am,control
Mumbai,2021,19.076,72.8777,Rice,Am,control
Mumbai,2022,19.076,72.8777,Rice,Am,control
Mumbai,2023,19.076,72.8777,Rice,Am,control
Mumbai,2024,19.076,72.8777,Rice,Am,control
